unit,hlth_pb,age,sex,time\geo;EU27 ;BE ;BG ;CZ ;DK ;DE ;EE ;EL ;ES ;FR ;IT ;CY ;LV ;LT ;LU ;HU ;MT ;NL ;AT ;PL ;PT ;RO ;SI ;SK ;FI ;SE ;UK ;EEA ;IS ;NO 
THS,PB2020,Y_GE65,T,2012;37132.0 e;716.1 ;715.0 ;643.9 ;371.7 ;6899.5 ;128.1 ;913.9 ;4040.2 ;3840.7 ;4779.2 ;55.7 ;218.7 ;294.0 ;25.3 ;853.2 ;26.2 ;687.3 ;514.3 ;3038.1 ;788.0 ;1872.1 ;170.7 ;410.0 ;411.8 ;659.8 ;4058.6 ;37357.5 e;17.5 ;208.0 
THS,PB2030,Y15-44,F,2012;16117.0 e;592.7 ;108.0 ;149.2 ;253.1 ;3791.0 ;77.1 ;151.3 ;2216.8 ;2360.7 ;644.9 ;30.3 ;105.2 ;144.0 ;24.6 ;175.7 ;6.7 ;763.3 ;372.6 ;1200.6 ;229.9 ;151.6 ;51.9 ;256.1 ;156.5 ;462.5 ;1640.8 ;16371.1 e;22.0 ;232.1 
THS,PB2030,Y15-44,M,2012;11996.5 e;404.6 ;107.1 ;136.6 ;201.3 ;2938.3 ;70.3 ;105.6 ;1333.6 ;1723.3 ;606.6 ;14.1 ;88.8 ;120.5 ;22.1 ;197.2 ;6.6 ;378.0 ;253.2 ;787.6 ;147.6 ;162.1 ;68.2 ;252.8 ;144.1 ;326.2 ;1400.1 ;12186.4 e;16.7 ;173.2 
THS,PB2030,Y15-44,T,2012;28113.5 e;997.3 ;215.1 ;285.7 ;454.4 ;6729.3 ;147.3 ;256.9 ;3550.4 ;4084.0 ;1251.5 ;44.4 ;193.9 ;264.5 ;46.7 ;372.9 ;13.3 ;1141.3 ;625.8 ;1988.3 ;377.5 ;313.7 ;120.1 ;508.9 ;300.6 ;788.7 ;3040.9 ;28557.5 e;38.6 ;405.3 
THS,PB2030,Y45-64,F,2012;24249.1 e;780.4 ;339.3 ;323.3 ;294.1 ;4723.4 ;106.3 ;366.9 ;2746.9 ;3411.1 ;1650.6 ;57.0 ;157.7 ;218.8 ;26.9 ;474.9 ;13.4 ;710.7 ;372.1 ;2580.6 ;551.5 ;575.9 ;131.7 ;557.3 ;248.9 ;500.9 ;2328.4 ;24485.0 e;20.1 ;215.8 
THS,PB2030,Y45-64,M,2012;18242.0 e;456.7 ;217.0 ;271.7 ;242.4 ;4070.2 ;73.3 ;202.3 ;1734.9 ;2602.4 ;1120.8 ;40.9 ;124.0 ;152.7 ;23.1 ;369.7 ;11.3 ;467.0 ;391.1 ;1957.9 ;345.2 ;548.4 ;112.5 ;346.6 ;199.4 ;314.5 ;1846.0 ;18421.1 e;10.8 ;168.3 
THS,PB2030,Y45-64,T,2012;42491.0 e;1237.1 ;556.3 ;595.0 ;536.6 ;8793.5 ;179.6 ;569.2 ;4481.8 ;6013.6 ;2771.4 ;98.0 ;281.7 ;371.5 ;50.0 ;844.6 ;24.7 ;1177.6 ;763.2 ;4538.5 ;896.7 ;1124.3 ;244.2 ;903.9 ;448.3 ;815.4 ;4174.4 ;42906.1 e;30.9 ;384.1 
THS,PB2030,Y_GE15,F,2012;63202.3 e;1830.4 ;787.2 ;801.4 ;743.4 ;12965.8 ;271.7 ;1046.7 ;7589.9 ;8396.5 ;4898.3 ;116.3 ;424.8 ;595.2 ;71.3 ;1225.1 ;32.1 ;1871.9 ;1067.9 ;6007.0 ;1296.9 ;1584.1 ;304.8 ;1103.9 ;630.4 ;1350.0 ;6189.3 ;63848.9 e;51.9 ;594.6 
THS,PB2030,Y_GE15,M,2012;42226.4 e;1203.8 ;489.6 ;600.0 ;567.2 ;9370.6 ;177.5 ;523.5 ;4191.4 ;5925.3 ;3105.1 ;73.6 ;272.0 ;360.7 ;54.5 ;830.6 ;24.6 ;1113.6 ;858.8 ;3743.1 ;756.6 ;1314.3 ;248.1 ;681.5 ;478.8 ;845.5 ;4415.9 ;42678.7 e;33.2 ;419.1 
THS,PB2030,Y_GE15,T,2012;105428.8 e;3034.2 ;1276.8 ;1401.4 ;1310.6 ;22336.4 ;449.1 ;1570.2 ;11781.3 ;14321.8 ;8003.5 ;189.9 ;696.8 ;955.9 ;125.9 ;2055.6 ;56.7 ;2985.5 ;1926.7 ;9750.1 ;2053.5 ;2898.4 ;552.9 ;1785.4 ;1109.3 ;2195.5 ;10605.3 ;106527.6 e;85.1 ;1013.7 
THS,PB2030,Y_GE65,F,2012;22836.3 e;457.3 ;339.9 ;329.0 ;196.1 ;4451.4 ;88.3 ;528.5 ;2626.2 ;2624.7 ;2602.8 ;29.0 ;162.0 ;232.4 ;19.8 ;574.5 ;12.0 ;397.9 ;323.1 ;2225.8 ;515.5 ;856.6 ;121.2 ;290.4 ;225.1 ;386.6 ;2220.2 ;22992.8 e;9.8 ;146.7 
THS,PB2030,Y_GE65,M,2012;11987.9 e;342.5 ;165.5 ;191.8 ;123.5 ;2362.2 ;33.9 ;215.6 ;1122.9 ;1599.6 ;1377.7 ;18.6 ;59.2 ;87.5 ;9.3 ;263.7 ;6.7 ;268.6 ;214.6 ;997.6 ;263.7 ;603.9 ;67.4 ;82.2 ;135.3 ;204.8 ;1169.7 ;12071.2 e;5.7 ;77.6 
